name,id,semsId,city,county,lng,lat,dateProposed,dateListed,dateCompleted,dateNOID,dateDeleted,stateName,stateCode,npl
Kellogg-Deering Well Field,CTD980670814,100252,Norwalk,Fairfield,-73.43195,41.13055,1983-09-08,1984-09-21,1996-09-23,,,Connecticut,CT,cleaning
Old Southington Landfill,CTD980670806,100251,Southington,Hartford,-72.881939,41.579169,1983-09-08,1984-09-21,2010-09-22,2018-07-20,2018-09-12,Connecticut,CT,completed
Revere Textile Prints Corp.,CTD004532610,100121,Sterling,Windham,-71.829169,41.708331,1986-06-10,1987-07-22,1992-09-30,1994-03-01,1994-09-02,Connecticut,CT,completed
Nutmeg Valley Road,CTD980669261,100250,Wolcott,New Haven,-72.9986,41.5748,1987-01-22,1989-03-31,2004-09-28,2005-08-05,2005-09-23,Connecticut,CT,completed
Durham Meadows,CTD001452093,100108,Durham,Middlesex,-72.681388,41.48111,1988-06-24,1989-10-04,,,,Connecticut,CT,listed
Cheshire Ground Water Contamination,CTD981067317,100265,Cheshire,New Haven,-72.910833,41.5575,1988-06-24,1990-08-30,1996-12-31,1997-03-21,1997-07-02,Connecticut,CT,completed
Linemaster Switch Corp.,CTD001153923,100041,Woodstock,Windham,-71.966939,41.940561,1988-06-24,1990-02-21,2005-03-29,,,Connecticut,CT,cleaning
Barkhamsted-New Hartford Landfill,CTD980732333,100255,Barkhamsted,Litchfield,-73.047222,41.980556,1988-06-24,1989-10-04,2001-09-28,,,Connecticut,CT,cleaning
Gallup's Quarry,CTD108960972,100201,Plainfield,Windham,-71.924161,41.665281,1988-06-24,1989-10-04,1997-09-30,,,Connecticut,CT,cleaning
Precision Plating Corp.,CTD051316313,100156,Vernon,Tolland,-72.447911,41.84975,1988-06-24,1989-10-04,,,,Connecticut,CT,listed
New London Submarine Base,CTD980906515,100261,New London,New London,-72.087081,41.400139,1989-10-26,1990-08-30,,,,Connecticut,CT,listed
"Raymark Industries, Inc.",CTD001186618,100094,Stratford,Fairfield,-73.117222,41.201278,1994-01-18,1995-04-25,,,,Connecticut,CT,listed
Scovill Industrial Landfill,CT0002265551,102953,Waterbury,New Haven,-73.010639,41.550389,2000-05-11,2000-07-27,,,,Connecticut,CT,listed
Washington Navy Yard,DC9170024310,300031,Washington,District of Columbia,-76.9875,38.875,1998-03-06,1998-07-28,,,,District of Columbia,undefined,listed
Army Creek Landfill,DED980494496,300086,New Castle County,New Castle,-75.608331,39.653061,1982-12-30,1983-09-08,1994-04-29,,,Delaware,DE,cleaning
Delaware Sand & Gravel Landfill,DED000605972,300034,New Castle County,New Castle,-75.602781,39.651389,1982-12-30,1983-09-08,1997-08-12,,,Delaware,DE,cleaning
Delaware City PVC Plant,DED980551667,300091,Delaware City,New Castle,-75.649439,39.586111,1982-12-30,1983-09-08,2001-09-26,,,Delaware,DE,cleaning
