name,id,semsId,state,city,county,status,lng,lat,dateProposed,dateListed,dateCompleted,dateNOID,dateDeleted,hasPartialDeletion
Kellogg-Deering Well Field,CTD980670814,100252,Connecticut,Norwalk,Fairfield,NPL Site,-73.43195,41.13055,9/8/1983,9/21/1984,9/23/1996,,,TRUE
Old Southington Landfill,CTD980670806,100251,Connecticut,Southington,Hartford,Deleted NPL Site,-72.881939,41.579169,9/8/1983,9/21/1984,9/22/2010,7/20/2018,9/12/2018,TRUE
Revere Textile Prints Corp.,CTD004532610,100121,Connecticut,Sterling,Windham,Deleted NPL Site,-71.829169,41.708331,6/10/1986,7/22/1987,9/30/1992,3/1/1994,9/2/1994,TRUE
Nutmeg Valley Road,CTD980669261,100250,Connecticut,Wolcott,New Haven,Deleted NPL Site,-72.9986,41.5748,1/22/1987,3/31/1989,9/28/2004,8/5/2005,9/23/2005,TRUE
Durham Meadows,CTD001452093,100108,Connecticut,Durham,Middlesex,NPL Site,-72.681388,41.48111,6/24/1988,10/4/1989,,,,TRUE
Cheshire Ground Water Contamination,CTD981067317,100265,Connecticut,Cheshire,New Haven,Deleted NPL Site,-72.910833,41.5575,6/24/1988,8/30/1990,12/31/1996,3/21/1997,7/2/1997,TRUE
Linemaster Switch Corp.,CTD001153923,100041,Connecticut,Woodstock,Windham,NPL Site,-71.966939,41.940561,6/24/1988,2/21/1990,3/29/2005,,,TRUE
Barkhamsted-New Hartford Landfill,CTD980732333,100255,Connecticut,Barkhamsted,Litchfield,NPL Site,-73.047222,41.980556,6/24/1988,10/4/1989,9/28/2001,,,TRUE
Gallup's Quarry,CTD108960972,100201,Connecticut,Plainfield,Windham,NPL Site,-71.924161,41.665281,6/24/1988,10/4/1989,9/30/1997,,,TRUE
Precision Plating Corp.,CTD051316313,100156,Connecticut,Vernon,Tolland,NPL Site,-72.447911,41.84975,6/24/1988,10/4/1989,,,,TRUE
